filename,width,height,class,xmin,ymin,xmax,ymax
BarefootRiesling_AlphaRigV1_2550.Far22 Sphere2018.04.05-20.12.32.png,1280,720,BarefootRiesling,490.178589,265.479675,640.178589,625.479675
Barefoot_Moscato_AlphaRigV1_2550.Far2 Sphere2018.04.05-20.08.32.png,1280,720,Barefoot_Moscato,464.29834000000005,264.810791,614.29834,624.810791
Barefoot_Moscato_BetaRigV1_1978.Out19 Sphere2018.04.06-13.11.54.png,1280,720,Barefoot_Moscato,686.407837,271.07824700000003,836.407837,631.0782469999999
CaliforniaRootsRedBlend_BetaRigV1_1978.InnerSphere Sphere2018.04.06-13.23.15.png,1280,720,CaliforniaRootsRedBlend,610.246338,164.726563,810.246338,564.7265629999999
Barefoot_Red_Moscato_BetaRigV1_1978.Far31 Sphere2018.04.06-13.13.59.png,1280,720,Barefoot_Red_Moscato,684.290527,263.493713,834.290527,623.493713
16293119_BetaRigV1_2550.Out19 Sphere2018.04.05-20.48.00.png,1280,720,16293119,732.533691,278.77099599999997,882.533691,638.770996
JoelGottSauvignonBlanc2014_BetaRigV1_2550.Far13 Sphere2018.04.05-20.22.11.png,1280,720,JoelGottSauvignonBlanc2014,671.810791,263.767273,821.810791,623.767273
Barefoot_Moscato_BetaRigV1_1978.Out21 Sphere2018.04.06-13.11.56.png,1280,720,Barefoot_Moscato,743.10144,270.33905,893.10144,630.33905
California_Roots_Pinot_Grigio_RigV1_1978.Out36 Sphere2018.04.06-13.22.00.png,1280,720,California_Roots_Pinot_Grigio,564.999146,262.940857,714.999146,622.940857
Barefoot_Pinot_Noir_BetaRigV1_1978.Out10 Sphere2018.04.06-13.12.59.png,1280,720,Barefoot_Pinot_Noir,630.564209,264.531921,780.564209,624.531921
52644170_BetaRigV1_2550.Far2 Sphere2018.04.05-20.37.20.png,1280,720,52644170,642.5430299999999,264.052307,792.5430299999999,624.052307
13462173_2_RigV1_2550.Far6 Sphere2018.04.05-20.31.16.png,1280,720,13462173_2,544.9999389999999,427.94122300000004,734.9999389999999,617.941223
85200011_RigV1_2550.Far12 Sphere2018.04.05-20.39.56.png,1280,720,85200011,565.0007320000001,262.941467,715.0007320000001,622.941467
53038403_RigV1_2550.Out9 Sphere2018.04.05-20.39.15.png,1280,720,53038403,564.9992679999999,262.940857,714.9992679999999,622.940857
Barefoot_Red_Moscato_BetaRigV1_2550.Far28 Sphere2018.04.05-20.11.25.png,1280,720,Barefoot_Red_Moscato,725.3709719999999,270.742615,875.370972,630.742615
13462173_2_AlphaRigV1_2550.Out16 Sphere2018.04.05-20.32.02.png,1280,720,13462173_2,369.415894,441.107483,559.4158940000001,631.107483
50952880_AlphaRigV1_1978.Out27 Sphere2018.04.06-12.52.25.png,1280,720,50952880,360.977173,445.407654,550.977173,635.407654
CaliforniaRootsRedBlend_BetaRigV1_2550.Far14 Sphere2018.04.05-20.19.45.png,1280,720,CaliforniaRootsRedBlend,702.35022,266.898682,852.3502199999999,626.898682
47137519_RigV1_1978.Out17 Sphere2018.04.06-12.54.42.png,1280,720,47137519,565.0000610000001,262.94104,715.0000610000001,622.94104
50441825_BetaRigV1_1978.Out17 Sphere2018.04.06-12.49.48.png,1280,720,50441825,685.267822,428.976501,875.267822,618.976501
Barefoot_Moscato_RigV1_1978.Out24 Sphere2018.04.06-13.11.59.png,1280,720,Barefoot_Moscato,564.999146,262.940796,714.999146,622.940796
BarefootRiesling_BetaRigV1_2550.Far27 Sphere2018.04.05-20.12.38.png,1280,720,BarefootRiesling,641.9537349999999,264.725403,791.9537349999999,624.725403
BarefootSweetRed_AlphaRigV1_1978.Out7 Sphere2018.04.06-13.16.37.png,1280,720,BarefootSweetRed,444.608643,268.65979,594.6086429999999,628.65979
Barefoot_Pinot_Noir_AlphaRigV1_1978.Out11 Sphere2018.04.06-13.13.00.png,1280,720,Barefoot_Pinot_Noir,497.100342,263.172913,647.100342,623.172913
California_Roots_Pinot_Grigio_RigV1_2550.Out15 Sphere2018.04.05-20.19.08.png,1280,720,California_Roots_Pinot_Grigio,565.000671,262.940796,715.000671,622.940796
17125355_BetaRigV1_1978.Far25 Sphere2018.04.06-13.07.45.png,1280,720,17125355,742.567749,268.49939,892.567749,628.4993900000001
85200011_BetaRigV1_2550.Out15 Sphere2018.04.05-20.40.35.png,1280,720,85200011,676.701355,266.20391800000004,826.701355,626.2039179999999
13462173_2_AlphaRigV1_1978.Out26 Sphere2018.04.06-12.51.10.png,1280,720,13462173_2,487.20837400000005,429.671936,677.208374,619.6719360000001
Barefoot_Moscato_RigV1_1978.Out28 Sphere2018.04.06-13.12.03.png,1280,720,Barefoot_Moscato,565.000366,262.940796,715.000366,622.940796
California_Root_Chardonnay_AlphaRigV1_2550.Far2 Sphere2018.04.05-20.15.53.png,1280,720,California_Root_Chardonnay,503.678894,263.63671899999997,653.678894,623.6367190000001
BarefootCabernetSauvignon_BetaRigV1_2550.Far12 Sphere2018.04.05-20.06.15.png,1280,720,BarefootCabernetSauvignon,698.0926509999999,269.478088,848.0926509999999,629.478088
BarefootSweetRed_AlphaRigV1_1978.Out31 Sphere2018.04.06-13.17.01.png,1280,720,BarefootSweetRed,356.40625,278.764465,506.40625,638.7644650000001
BarefootRiesling_RigV1_1978.Out4 Sphere2018.04.06-13.15.20.png,1280,720,BarefootRiesling,565.0007320000001,262.94104,715.0007320000001,622.94104
Barefoot_Red_Moscato_AlphaRigV1_2550.Far2 Sphere2018.04.05-20.10.59.png,1280,720,Barefoot_Red_Moscato,453.68212900000003,265.222961,603.682129,625.222961
53038403_BetaRigV1_1978.Out34 Sphere2018.04.06-12.58.40.png,1280,720,53038403,749.3106690000001,270.395813,899.310669,630.395813
Barefoot_Pinot_Noir_BetaRigV1_1978.Out7 Sphere2018.04.06-13.12.56.png,1280,720,Barefoot_Pinot_Noir,730.405762,273.65594500000003,880.4057619999999,633.655945
BarefootChardonnay_BetaRigV1_2550.Far14 Sphere2018.04.05-20.07.31.png,1280,720,BarefootChardonnay,692.72406,266.368469,842.72406,626.368469
BarefootChardonnay_RigV1_1978.Out32 Sphere2018.04.06-13.10.53.png,1280,720,BarefootChardonnay,564.9998780000001,262.940857,714.9998780000001,622.940857
16293119_RigV1_2550.Out36 Sphere2018.04.05-20.48.16.png,1280,720,16293119,564.999512,262.940857,714.999512,622.940857
50441825_RigV1_2550.Far6 Sphere2018.04.05-20.30.03.png,1280,720,50441825,544.9999389999999,427.94122300000004,734.9999389999999,617.941223
sutterHomeBox_AlphaRigV1_2550.Far26 Sphere2018.04.05-20.23.38.png,1280,720,sutterHomeBox,492.87677,264.63989300000003,642.87677,624.6398929999999
17125355_AlphaRigV1_1978.Far31 Sphere2018.04.06-13.07.50.png,1280,720,17125355,479.912048,263.22326699999996,629.912048,623.223267
16293119_RigV1_2550.Far23 Sphere2018.04.05-20.47.28.png,1280,720,16293119,564.9993900000001,262.940796,714.9993900000001,622.940796
16293119_RigV1_2550.Far1 Sphere2018.04.05-20.47.06.png,1280,720,16293119,565.000488,262.940918,715.000488,622.940918
13300260_AlphaRigV1_1978.Far22 Sphere2018.04.06-13.01.33.png,1280,720,13300260,351.035217,281.908325,501.035217,641.908325
BarefootRiesling_BetaRigV1_2550.Out8 Sphere2018.04.05-20.12.54.png,1280,720,BarefootRiesling,635.496887,263.354675,785.496887,623.354675
CaliforniaRootsRedBlend_AlphaRigV1_1978.Out30 Sphere2018.04.06-13.23.07.png,1280,720,CaliforniaRootsRedBlend,496.756958,264.738159,646.756958,624.738159
50441825_AlphaRigV1_1978.Out34 Sphere2018.04.06-12.50.05.png,1280,720,50441825,345.227661,436.66967800000003,535.227661,626.669678
50952880_BetaRigV1_1978.Out26 Sphere2018.04.06-12.52.24.png,1280,720,50952880,608.7499389999999,430.04632599999997,798.7499389999999,620.046326
CaliforniaRootsRedBlend_BetaRigV1_1978.Far27 Sphere2018.04.06-13.22.30.png,1280,720,CaliforniaRootsRedBlend,762.13501,273.683533,912.13501,633.683533
13300260_AlphaRigV1_2550.Far29 Sphere2018.04.05-20.42.41.png,1280,720,13300260,403.029938,264.48638900000003,553.029907,624.4863889999999
BarefootRiesling_RigV1_2550.Far7 Sphere2018.04.05-20.12.17.png,1280,720,BarefootRiesling,564.9998780000001,262.940857,714.9998780000001,622.940857
53038403_AlphaRigV1_1978.Far8 Sphere2018.04.06-12.57.39.png,1280,720,53038403,364.442139,270.003723,514.442139,630.003723
sutterHomeBox_BetaRigV1_2550.Far9 Sphere2018.04.05-20.23.21.png,1280,720,sutterHomeBox,712.5594480000001,270.19635,862.5594480000001,630.19635
CaliforniaRootCabernet_BetaRigV1_2550.Far10 Sphere2018.04.05-20.14.47.png,1280,720,CaliforniaRootCabernet,687.342407,263.922974,837.342407,623.9229740000001
